"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails","NA"
"10","0","0.00","0.00","14.00","2.20","23.40","5.00","3.20","7.40","12.60","5.60","4.20","4.00","4.20","0.00","0.00","6.80","0.00","0.00","1.80",""
"11","5","0.00","0.00","11.20","9.20","25.20","1.40","2.40","4.60","11.40","5.40","14.60","2.00","6.80","3.60","0.20","5.20","0.00","0.00","6.20",""
"12","10","0.00","0.00","14.00","8.20","24.80","4.20","1.80","3.40","13.00","4.40","13.60","1.80","4.00","5.00","1.20","3.40","0.00","0.00","5.20",""
"13","15","0.00","1.20","11.20","8.00","25.40","3.40","1.80","3.00","11.80","2.80","11.40","2.20","3.40","6.40","2.60","3.00","0.20","0.20","6.80",""
"14","20","0.20","2.20","9.60","8.60","21.80","2.20","1.40","4.00","7.20","3.40","11.20","1.20","3.20","6.20","1.60","3.40","2.00","2.60","5.00",""
"15","25","1.60","1.80","9.60","10.00","21.40","2.40","2.60","1.60","8.80","2.80","11.00","2.60","2.80","4.40","2.00","2.40","2.00","1.80","4.80",""
"16","30","1.40","1.60","12.80","10.60","22.40","2.00","2.60","3.20","10.20","2.20","12.00","2.60","2.00","5.00","1.60","2.80","1.40","1.40","4.60",""
"17","35","2.20","2.00","11.40","10.00","23.20","2.60","3.00","3.60","9.20","3.20","10.80","2.60","2.80","4.20","0.60","3.40","1.80","2.20","3.60",""
"18","40","2.20","1.40","10.20","11.60","20.60","2.40","3.20","1.40","8.20","3.00","12.60","3.80","4.00","3.60","1.20","2.00","2.20","1.40","4.80",""
"19","45","1.00","0.00","7.40","7.00","5.60","0.20","2.40","1.20","6.20","1.20","6.40","1.80","1.20","2.60","1.00","1.40","0.60","0.60","1.80",""
"20","50","0.00","0.00","1.60","0.60","0.00","0.00","0.20","0.00","0.40","0.20","0.60","0.00","0.20","0.00","0.00","0.00","0.00","0.00","0.00",""
"21","55","0.00","0.00","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",""
"22","60","0.20","0.40","2.80","2.20","7.40","1.00","0.00","0.20","3.60","0.20","2.00","0.00","0.20","1.60","1.00","0.20","0.20","0.40","0.80",""
"23","65","0.20","0.40","1.60","0.80","2.00","0.00","0.40","0.80","0.40","0.20","0.80","0.40","0.20","0.80","0.00","0.20","0.20","0.00","0.40",""
"24","70","0.00","0.40","0.80","0.20","2.80","0.20","0.00","0.00","1.60","0.60","0.40","0.00","0.60","0.60","0.00","0.60","0.20","0.20","0.00",""
"25","75","0.20","0.60","3.20","2.00","6.00","1.20","0.40","1.20","2.00","0.80","2.80","0.40","0.40","1.00","0.00","1.00","0.40","0.40","1.20",""
"26","80","0.20","0.40","3.60","3.00","10.60","2.00","0.60","1.40","3.80","0.80","3.80","0.60","1.00","0.80","0.40","1.20","0.20","0.20","1.40",""
"27","85","1.80","0.80","5.80","4.80","14.60","1.80","2.00","2.20","5.80","2.40","6.00","2.60","1.60","1.60","0.00","2.00","0.40","1.00","1.40",""
"28","90","0.40","0.00","8.00","5.20","11.80","1.00","2.40","1.80","6.40","2.00","6.20","2.40","2.80","2.20","1.40","1.80","1.40","0.80","2.60",""
"29","95","0.80","1.00","5.40","7.00","13.40","1.60","1.60","1.40","5.60","1.20","8.80","1.20","1.40","2.20","0.20","1.80","0.20","0.40","3.20",""
"30","100","0.80","0.80","5.40","5.00","12.40","1.80","1.60","1.80","5.40","1.60","5.40","1.80","1.20","2.20","0.60","1.20","0.40","0.40","2.20",""
"31","105","0.20","0.00","8.40","5.80","12.40","1.40","0.80","1.80","7.00","2.20","6.80","1.20","2.00","1.60","0.80","2.20","0.80","0.60","2.60",""
"32","110","0.40","0.60","3.60","4.20","9.80","1.40","1.60","1.20","3.60","1.40","6.80","1.60","1.60","2.40","0.80","1.60","0.20","0.20","2.60",""
"33","115","0.80","0.80","5.40","3.80","12.40","0.80","2.20","1.00","6.00","0.80","4.20","1.40","0.80","3.20","0.80","0.60","0.00","0.40","2.20",""
"34","120","0.40","0.80","9.80","6.00","16.80","3.20","0.40","3.20","8.60","2.20","5.80","0.60","1.60","3.20","1.00","2.40","1.40","1.20","2.40",""
"35","125","0.00","1.00","6.40","3.80","8.00","0.60","0.80","1.40","4.20","2.40","4.20","0.80","3.20","2.00","0.20","2.20","0.80","0.60","1.60",""
"36","130","0.40","0.60","5.00","4.00","13.20","0.60","0.80","1.40","4.20","1.40","5.80","0.80","1.20","2.20","1.00","1.40","1.00","1.00","2.40",""
"37","135","1.80","0.80","7.40","7.80","18.60","2.60","2.20","3.60","6.60","2.80","8.20","2.40","2.40","3.20","0.80","3.60","1.20","1.60","3.80",""
"38","140","1.20","1.00","8.00","8.00","18.80","2.00","2.20","2.60","7.40","2.80","11.60","2.40","3.00","3.60","1.20","2.60","0.80","0.60","3.40",""
"39","145","1.20","1.00","9.80","9.20","20.40","2.40","2.80","1.60","9.00","2.00","11.80","2.40","2.00","3.40","1.40","1.40","1.20","1.20","5.40",""
"40","150","0.60","1.40","10.40","8.20","20.40","2.20","1.00","3.40","10.00","2.40","8.60","1.20","2.40","5.80","2.20","3.00","0.80","0.60","3.60",""
"41","155","1.00","1.60","9.20","7.60","17.80","1.80","2.20","2.60","7.80","2.60","9.20","2.00","3.20","3.40","0.20","3.00","1.40","1.80","3.20",""
"42","160","2.00","1.20","8.40","8.00","18.20","2.20","1.80","2.60","6.20","3.00","8.60","2.20","2.80","2.20","0.80","2.60","2.00","1.60","2.60",""
"43","165","1.40","0.80","7.80","11.20","19.60","1.00","3.20","1.60","8.00","3.00","13.60","2.80","2.60","3.80","2.00","2.20","0.40","0.60","5.60",""
"44","170","0.80","1.60","9.80","7.40","18.20","1.60","1.40","2.40","7.60","1.00","8.40","1.40","1.40","5.00","1.40","1.80","1.20","1.00","4.20",""
"45","175","1.00","1.40","9.80","6.80","16.60","2.60","1.20","3.20","8.60","3.20","7.40","1.80","3.20","3.80","0.60","2.80","1.00","1.80","2.20",""
"46","180","1.00","1.20","7.00","7.80","19.40","1.80","2.40","2.40","6.40","2.60","9.20","1.80","2.60","3.20","1.40","3.20","1.80","1.00","4.40",""
"47","185","1.80","1.00","10.00","8.40","20.80","1.40","2.60","3.00","7.60","3.00","9.80","2.60","2.80","4.40","1.20","2.80","1.40","1.60","3.20",""
"48","190","0.80","1.00","11.00","8.80","18.40","2.00","1.60","2.40","9.40","2.80","10.20","1.80","2.40","3.40","0.80","2.20","1.00","1.20","4.40",""
"49","195","1.80","0.80","10.40","7.60","20.60","3.20","2.20","3.20","10.60","3.00","9.60","2.20","2.60","4.20","1.60","3.20","1.40","1.00","3.40",""
"50","200","1.00","1.60","8.80","9.40","19.00","1.40","1.80","3.00","7.20","3.40","10.80","1.40","3.60","3.00","0.60","3.40","0.40","0.80","4.20",""
"51","205","1.20","0.80","9.20","7.00","18.20","2.40","1.80","2.40","8.20","2.00","9.40","2.20","2.40","3.60","0.80","2.00","1.40","1.20","3.80",""
"52","210","0.60","0.80","9.20","7.40","18.40","3.40","2.20","2.00","8.80","1.80","9.00","2.20","1.80","4.40","1.40","2.40","0.80","0.80","2.80",""
"53","215","1.40","1.60","9.40","8.80","18.80","1.80","2.80","1.60","8.80","2.20","9.60","3.20","2.40","4.40","1.20","1.40","0.60","1.00","4.40",""
"54","220","0.60","1.20","11.00","7.40","16.80","2.80","2.60","2.80","9.00","2.40","7.80","2.00","2.40","2.80","1.60","2.60","1.40","1.00","3.40",""
"55","225","0.80","1.20","6.80","7.60","22.00","1.80","1.80","2.60","5.00","2.80","10.20","1.60","2.40","3.60","0.60","2.60","1.40","1.40","3.80",""
"56","230","2.20","0.80","9.40","10.80","19.00","1.80","3.00","2.60","8.20","2.60","11.20","3.20","2.60","3.80","1.60","2.80","1.60","1.60","4.00",""
"57","235","1.40","2.00","11.40","8.40","19.80","2.60","2.80","2.00","10.40","2.00","9.60","2.80","2.60","4.20","1.60","1.80","1.20","1.20","3.00",""
"58","240","1.00","1.40","10.60","7.60","21.00","2.80","1.00","3.60","9.40","2.60","8.60","1.60","1.80","3.80","0.60","3.80","1.80","1.80","3.20",""
"59","245","1.20","1.00","10.80","8.60","21.80","1.80","3.20","3.60","9.20","4.20","10.00","2.60","4.20","3.00","1.00","3.40","1.00","1.00","5.00",""
"60","250","1.60","0.40","6.60","9.20","12.80","1.60","2.40","0.80","5.40","2.00","10.20","2.80","2.60","3.20","1.40","1.40","0.80","0.60","3.40",""
"61","255","0.80","1.40","8.60","6.80","19.80","2.60","2.00","1.80","8.20","1.00","10.00","1.40","0.80","4.00","0.40","1.40","0.40","0.80","3.60",""
"62","260","0.80","0.80","10.80","8.60","19.00","2.80","2.80","3.40","10.20","2.40","7.40","3.00","2.80","3.60","1.80","2.40","1.40","1.20","3.00",""
"63","265","1.00","1.40","10.00","7.00","21.20","3.60","2.00","1.60","9.00","3.00","9.20","2.60","2.40","3.40","0.80","2.80","1.20","1.00","2.60",""
"64","270","1.60","1.20","10.20","9.80","20.40","2.20","3.20","2.60","8.80","2.20","11.40","3.00","2.40","4.00","1.00","2.40","1.60","1.60","4.20",""
"65","275","0.60","0.60","12.40","8.20","22.20","2.60","1.80","3.60","11.60","2.40","10.40","1.80","2.60","3.40","1.60","2.60","1.00","1.00","3.60",""
"66","280","1.60","1.40","9.00","8.40","18.00","1.40","2.80","3.00","7.80","3.60","10.20","2.40","3.80","3.20","1.20","3.80","0.60","0.80","4.40",""
"67","285","0.80","1.00","8.60","7.60","18.40","2.00","1.40","2.60","7.00","3.00","9.40","1.60","3.00","4.20","1.40","2.80","1.20","1.20","4.40",""
"68","290","0.80","1.80","8.20","7.80","17.80","1.60","1.40","2.40","6.40","2.20","7.80","1.80","2.00","4.60","1.60","2.00","1.20","1.20","4.20",""
"69","295","1.60","1.40","9.00","9.00","21.80","1.60","3.00","1.80","7.40","2.40","11.60","2.80","2.20","4.60","0.60","2.00","1.60","1.60","3.20",""
"70","300","1.60","1.20","10.40","10.80","18.40","2.80","3.00","2.20","9.20","2.00","11.00","2.60","2.40","3.00","1.60","2.20","2.00","1.80","4.00",""
"71","305","1.40","0.80","10.60","7.40","20.20","3.80","3.00","1.20","10.00","1.40","9.00","3.80","1.60","3.40","0.80","1.80","0.40","0.40","2.40",""
"72","310","1.00","1.20","12.60","7.20","23.00","3.00","3.00","3.60","12.80","2.60","9.20","2.80","2.20","3.40","0.40","3.00","1.20","1.80","3.20",""
"73","315","1.00","0.80","12.00","9.40","21.60","3.40","2.60","3.20","10.00","4.20","10.60","2.00","4.20","3.40","0.60","3.60","1.20","0.80","3.20",""
"74","320","1.20","0.40","11.00","9.00","20.20","2.40","2.60","3.00","10.40","2.20","10.00","2.80","1.80","2.20","1.80","2.00","0.60","0.40","5.20",""
"75","325","0.80","1.80","9.80","7.20","21.20","2.00","2.20","3.60","9.00","3.40","10.00","2.00","3.80","5.80","1.20","3.80","0.40","0.80","3.40",""
"76","330","0.40","1.20","10.80","9.80","22.20","2.60","1.40","3.60","8.80","3.40","11.00","1.40","2.80","3.80","2.20","4.00","1.80","1.80","5.60",""
"77","335","2.00","1.20","8.80","11.00","21.40","3.00","2.80","2.20","7.60","3.20","13.00","2.80","3.40","4.80","1.20","2.40","1.80","1.60","4.60",""
"78","340","2.00","2.00","10.20","9.80","22.60","2.80","3.80","1.60","9.40","1.80","11.20","3.80","2.60","5.40","1.40","1.80","1.20","1.20","4.60",""
"79","345","0.80","1.40","11.80","8.80","22.20","3.00","2.20","2.80","11.20","2.60","10.20","2.80","2.20","4.60","1.40","2.40","1.60","1.40","2.80",""
"80","350","1.40","1.60","12.60","10.40","19.60","1.80","2.60","2.00","9.60","1.60","10.20","2.40","1.60","2.40","1.20","2.00","1.40","1.80","4.80",""
"81","355","1.40","0.80","8.80","7.80","19.40","2.60","2.20","3.80","7.40","4.00","8.20","2.20","3.80","3.20","1.00","4.00","1.20","1.00","2.60",""
"82","360","1.60","1.60","8.60","7.40","15.60","1.40","2.60","2.40","6.20","1.60","10.40","2.60","2.00","3.20","1.00","2.00","1.00","1.40","3.60",""
"83","365","0.80","0.80","8.80","9.60","21.80","1.80","2.20","2.20","8.20","3.60","10.40","2.00","2.80","4.40","1.40","2.60","1.80","1.20","3.80",""
"84","370","1.80","1.40","9.20","9.00","18.40","2.60","3.20","1.00","9.20","1.40","11.00","3.00","2.00","4.00","1.60","1.40","0.80","1.00","4.60",""
"85","375","0.80","1.00","11.40","8.40","21.20","2.40","1.80","4.00","9.80","3.00","9.00","2.00","2.40","3.40","1.20","3.60","1.00","1.00","2.80",""
"86","380","1.20","1.60","9.20","7.40","18.20","2.60","2.80","3.00","7.00","2.80","8.60","2.40","2.80","3.20","0.40","2.60","1.00","1.00","3.80",""
"87","385","0.80","0.80","11.60","8.80","20.80","1.40","1.60","2.20","11.20","2.20","10.60","2.00","3.00","3.80","0.40","2.80","2.00","2.00","3.20",""
"88","390","1.60","0.20","10.20","9.20","22.00","2.20","2.00","3.20","9.80","3.80","10.80","2.40","3.00","3.60","1.80","2.80","0.40","0.20","5.00",""
"89","395","1.00","1.40","11.40","7.60","22.00","3.60","1.80","4.20","11.00","4.00","10.40","1.20","3.80","5.20","0.80","4.40","0.60","1.00","4.20",""
"90","400","0.80","1.00","10.60","8.60","21.60","2.40","1.80","3.00","8.60","3.00","11.60","2.00","3.60","4.80","2.00","3.00","1.40","1.00","5.40",""
"91","405","1.00","2.20","8.40","9.40","24.00","2.20","2.00","3.20","7.20","3.00","11.40","1.80","3.00","5.20","1.60","3.00","1.60","2.20","4.40",""
"92","410","1.80","1.60","12.80","10.80","21.80","2.40","2.20","3.00","9.60","2.60","11.40","2.20","2.60","5.40","1.80","2.80","2.00","1.40","5.20",""
"93","415","1.80","2.40","8.40","9.40","20.60","2.40","2.60","2.20","7.20","2.40","11.00","3.20","2.80","3.60","1.80","2.40","2.00","2.20","4.40",""
"94","420","2.20","1.00","9.60","11.40","20.60","1.40","3.60","2.40","8.00","2.40","12.00","4.20","2.00","3.60","1.20","2.40","2.00","1.80","3.20",""
"95","425","1.00","1.40","11.60","11.00","24.00","3.20","3.00","2.80","11.20","2.80","13.40","2.40","2.60","5.20","1.40","2.80","0.60","0.80","4.80",""
"96","430","1.80","1.40","12.40","9.40","22.60","2.20","3.40","2.40","9.60","2.40","9.40","3.20","3.00","3.60","1.40","2.20","1.60","1.80","3.80",""
"97","435","1.00","1.20","11.80","9.00","21.20","3.40","2.80","3.20","12.00","4.00","10.20","2.60","3.60","4.20","0.60","3.60","1.20","0.80","3.00",""
"98","440","1.40","1.00","10.20","8.60","19.80","2.40","3.00","1.80","8.80","1.40","10.00","3.00","1.80","2.80","1.00","1.80","1.00","1.20","4.00",""
"99","445","1.00","1.00","11.80","8.00","18.40","3.20","2.60","3.00","10.40","2.20","9.60","2.40","2.20","3.60","1.00","2.60","1.00","0.80","3.00",""
"100","450","0.60","0.80","8.20","5.20","16.00","1.60","1.80","2.60","7.20","3.00","6.00","2.40","2.40","2.00","0.00","2.60","1.00","1.00","2.80",""
"101","455","1.40","0.20","10.20","8.60","18.20","2.00","2.20","2.20","9.20","2.60","9.80","1.60","3.20","3.20","1.00","2.40","0.80","0.80","2.80",""
"102","460","0.20","0.60","7.00","5.00","15.00","2.40","1.80","2.00","7.20","2.00","7.80","1.60","1.60","2.80","0.60","2.40","0.00","0.20","3.00",""
"103","465","0.80","1.00","9.00","7.40","22.60","3.20","2.40","2.80","9.00","2.40","9.20","3.20","2.40","4.40","1.60","2.40","0.80","0.60","4.00",""
"104","470","0.40","1.00","12.20","9.60","19.00","1.80","2.00","3.00","9.40","3.80","10.80","1.60","3.80","3.60","1.40","3.40","1.20","1.40","4.60",""
"105","475","0.80","1.60","5.20","5.20","15.40","1.60","1.20","2.20","5.20","1.80","7.60","1.20","2.00","2.80","0.40","2.00","0.80","1.20","3.20",""
"106","480","1.60","0.80","9.80","7.40","20.20","2.40","2.20","2.60","8.40","2.80","9.00","2.60","1.80","5.00","1.40","2.40","1.80","1.40","3.80",""
"107","485","1.40","0.60","10.80","10.00","16.80","2.40","3.20","2.00","8.80","1.60","10.80","2.80","2.40","2.60","1.40","2.40","0.80","0.60","3.60",""
"108","490","0.60","1.40","7.20","5.40","15.60","1.80","2.80","1.20","7.40","2.00","7.20","3.00","2.20","3.80","1.00","1.20","0.40","0.60","2.60",""
"109","495","0.40","1.20","9.00","7.80","17.80","1.80","1.40","2.80","7.60","2.40","8.80","1.00","2.00","3.00","1.00","2.80","1.40","1.60","3.20",""
"110","500","0.80","0.80","10.00","9.20","22.60","2.60","2.00","2.80","9.00","1.80","9.20","2.40","2.20","3.80","1.20","2.20","1.20","1.00","3.20",""
"111","505","1.60","1.60","10.20","7.20","20.00","2.40","2.80","3.20","8.40","4.00","9.60","3.00","3.80","2.80","1.00","3.40","1.00","1.60","3.00",""
"112","510","1.60","1.00","11.80","10.40","22.40","2.60","3.00","2.80","11.40","2.00","11.80","2.60","2.00","4.60","0.80","2.80","1.40","0.80","5.00",""
"113","515","1.60","1.00","11.40","9.00","22.00","3.00","2.00","3.00","10.40","3.20","9.80","2.80","3.40","3.20","0.60","3.20","1.20","1.40","3.00",""
"114","520","0.60","0.80","10.80","8.20","20.60","3.60","3.40","2.40","9.20","2.80","11.40","2.40","2.20","3.80","0.80","2.40","1.00","0.60","4.40",""
"115","525","1.40","1.40","10.00","8.00","20.40","2.40","2.40","2.60","10.20","2.00","9.20","2.60","2.80","4.40","1.80","1.80","0.40","0.40","4.00",""
"116","530","0.40","0.80","11.80","8.20","20.20","2.40","1.80","3.40","10.40","4.00","10.60","2.00","3.20","3.60","1.20","3.80","1.40","1.40","4.40",""
"117","535","1.20","0.80","8.60","8.40","21.20","1.60","1.40","3.40","7.80","2.80","9.20","1.00","2.60","4.40","1.00","3.40","1.40","1.40","3.80",""
"118","540","1.20","1.80","10.00","8.20","21.20","2.60","2.00","2.80","8.40","3.60","10.20","2.00","4.40","3.80","1.60","3.60","1.20","1.40","3.80",""
"119","545","1.40","0.80","9.60","9.80","20.80","1.60","3.20","2.40","8.40","2.20","11.80","3.20","2.00","4.80","1.20","2.40","1.00","1.00","5.60",""
"120","550","1.40","1.60","10.80","10.20","20.60","3.20","2.00","2.80","9.00","2.20","11.80","2.20","2.40","5.20","2.20","1.40","1.00","0.80","4.40",""
"121","555","1.00","2.20","11.00","8.20","20.40","2.80","1.80","2.60","9.40","3.20","10.40","1.80","3.20","3.40","1.00","3.60","2.00","2.40","4.00",""
"122","560","1.00","1.20","10.20","10.00","22.20","2.20","2.40","2.60","8.40","2.40","10.40","2.40","1.80","3.80","1.20","2.20","2.00","1.80","3.60",""
"123","565","2.40","1.40","11.20","9.40","22.20","2.20","3.40","3.60","10.20","2.80","10.00","3.80","3.60","4.40","1.20","3.40","0.60","0.60","3.80",""
"124","570","1.20","1.40","10.00","9.40","21.00","2.40","2.80","2.40","8.60","3.60","11.20","2.20","3.20","3.80","0.80","3.00","1.60","1.80","4.20",""
"125","575","1.80","0.60","10.60","12.00","21.00","1.60","1.40","3.20","9.20","2.80","13.00","2.20","2.60","4.60","2.60","3.00","1.40","1.40","6.00",""
"126","580","1.00","2.20","9.20","7.20","23.20","2.60","3.00","2.60","8.60","3.00","11.00","2.40","3.20","5.40","1.00","3.20","1.40","1.20","3.40",""
"127","585","1.00","1.00","12.80","10.60","21.00","2.00","2.40","2.40","9.80","2.60","9.80","2.00","2.80","3.20","2.00","2.40","1.80","1.60","4.80",""
"128","590","2.00","2.20","8.00","9.20","21.60","2.00","2.80","4.00","7.60","3.60","10.80","3.60","3.20","5.20","0.80","3.80","0.80","1.80","4.40",""
"129","595","1.00","0.80","12.00","10.60","21.80","2.00","2.40","1.80","10.80","1.80","12.20","1.60","2.40","3.40","0.60","1.40","2.20","1.20","3.40",""
"130","600","2.60","0.80","13.60","7.40","19.80","4.60","3.40","2.60","11.20","2.60","8.20","3.60","1.60","3.60","1.20","2.60","1.00","1.00","2.80",""
"131","605","0.20","0.40","8.60","8.40","21.20","1.40","2.40","3.40","9.60","3.00","11.40","2.40","3.60","3.80","0.60","3.40","0.20","0.20","3.20",""
"132","610","0.80","1.40","10.80","6.40","19.00","3.60","1.60","2.40","8.60","2.80","7.60","1.60","2.80","2.80","1.20","2.80","1.40","1.60","4.40",""
"133","615","1.00","0.80","10.00","8.60","18.60","1.40","3.00","2.40","9.40","2.20","11.20","3.20","2.60","4.20","1.20","2.20","0.40","0.40","4.00",""
